v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4
ham,go jurong point crazi avail bugi n great world la e buffet cine got amor wat,,,
ham,ok lar joke wif u oni,,,
spam,free entri NUMBER wkli comp win fa cup final tkt 21st may NUMBER text fa NUMBER receiv entri question std txt rate c appli 08452810075over18,,,
ham,u dun say earli hor u c alreadi say,,,
ham,nah think goe usf live around though,,,
spam,freemsg hey darl NUMBER week word back like fun still tb ok xxx std chg send å NUMBER NUMBER rcv,,,
ham,even brother like speak treat like aid patent,,,
ham,per request mell mell oru minnaminungint nurungu vettam set callertun caller press NUMBER copi friend callertun,,,
spam,winner valu network custom select receivea å NUMBER prize reward claim call NUMBER claim code kl341 valid NUMBER hour,,,
spam,mobil NUMBER month u r entitl updat latest colour mobil camera free call mobil updat co free NUMBER,,,
ham,gonna home soon want talk stuff anymor tonight k cri enough today,,,
spam,six chanc win cash NUMBER NUMBER NUMBER pound txt csh11 send NUMBER cost 150p day 6day NUMBER tsandc appli repli hl NUMBER info,,,
spam,urgent NUMBER week free membership å NUMBER NUMBER prize jackpot txt word claim NUMBER c url dbuk net lccltd pobox 4403ldnw1a7rw18,,,
ham,search right word thank breather promis wont take help grant fulfil promis wonder bless time,,,
ham,date sunday,,,
spam,xxxmobilemovieclub use credit click wap link next txt messag click http wap xxxmobilemovieclub com n qjkgighjjgcbl,,,
ham,oh k watch,,,
ham,eh u rememb NUMBER spell name ye v naughti make v wet,,,
ham,fine thatåõ way u feel thatåõ way gota b,,,
spam,england v macedonia dont miss goal team news txt ur nation team NUMBER eg england NUMBER tri wale scotland 4txt ì¼1 NUMBER poboxox36504w45wq NUMBER,,,
ham,serious spell name,,,
ham,û go tri NUMBER month ha ha joke,,,
ham,ì_ pay first lar da stock comin,,,
ham,aft finish lunch go str lor ard NUMBER smth lor u finish ur lunch alreadi,,,
ham,ffffffffff alright way meet sooner,,,
ham,forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol,,,
ham,lol alway convinc,,,
ham,catch bu fri egg make tea eat mom left dinner feel love,,,
ham,back amp pack car let know room,,,
ham,ahhh work vagu rememb feel like lol,,,
ham,wait still clear sure sarcast x want live us,,,
ham,yeah got NUMBER v apologet n fallen actin like spoilt child got caught till NUMBER go badli cheer,,,
ham,k tell anyth,,,
ham,fear faint housework quick cuppa,,,
spam,thank subscript rington uk mobil charg å NUMBER month pleas confirm repli ye repli charg,,,
ham,yup ok go home look time msg ì_ xuhui go learn 2nd may lesson 8am,,,
ham,oop let know roommat done,,,
ham,see letter b car,,,
ham,anyth lor u decid,,,
ham,hello saturday go text see decid anyth tomo tri invit anyth,,,
ham,pl go ahead watt want sure great weekend abiola,,,
ham,forget tell want need crave love sweet arabian steed mmmmmm yummi,,,
spam,NUMBER rodger burn msg tri call repli sm free nokia mobil free camcord pleas call NUMBER deliveri tomorrow,,,
ham,see,,,
ham,great hope like man well endow lt gt inch,,,
ham,call messag miss call,,,
ham,get hep b immunis nigeria,,,
ham,fair enough anyth go,,,
ham,yeah hope tyler could mayb ask around bit,,,
ham,u know stubborn even want go hospit kept tell mark weak sucker hospit weak sucker,,,
ham,think first time saw class,,,
ham,gram usual run like lt gt half eighth smarter though get almost whole second gram lt gt,,,
ham,k fyi x ride earli tomorrow morn crash place tonight,,,
ham,wow never realiz embarass accomod thought like sinc best could alway seem happi cave sorri give sorri offer sorri room embarass,,,
spam,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv,,,
ham,know mallika sherawat yesterday find emailadress lt url gt,,,
spam,congrat NUMBER year special cinema pass NUMBER call NUMBER c suprman v matrix3 starwars3 etc NUMBER free bx420 ip4 5we 150pm dont miss,,,
ham,sorri call later meet,,,
ham,tell reach,,,
ham,ye gauti sehwag odi seri,,,
ham,gonna pick dollar1 burger way home even move pain kill,,,
ham,ha ha ha good joke girl situat seeker,,,
ham,part check iq,,,
ham,sorri roommat took forev ok come,,,
ham,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice,,,
spam,valu custom pleas advis follow recent review mob award å NUMBER bonu prize call NUMBER,,,
ham,today song dedic day song u dedic send ur valuabl frnd first rpli,,,
spam,urgent ur award complimentari trip eurodisinc trav aco entry41 å NUMBER claim txt di NUMBER NUMBER NUMBER å NUMBER NUMBER morefrmmob shracomorsglsuplt NUMBER ls1 3aj,,,
spam,hear new divorc barbi come ken stuff,,,
ham,plane give month end,,,
ham,wah lucki man save money hee,,,
ham,finish class,,,
ham,hi babe im home wanna someth xx,,,
ham,k k perform,,,
ham,u call,,,
ham,wait machan call free,,,
ham,that cool gentleman treat digniti respect,,,
ham,like peopl much shi pa,,,
ham,oper lt gt,,,
ham,still look job much ta earn,,,
ham,sorri call later,,,
ham,k call ah,,,
ham,ok way home hi hi,,,
ham,place man,,,
ham,yup next stop,,,
ham,call later network urgnt sm,,,
ham,real u get yo need NUMBER ticket one jacket done alreadi use multi,,,
ham,ye start send request make pain came back back bed doubl coin factori gotta cash nitro,,,
ham,realli still tonight babe,,,
